iter	RMSE
808	150889.4062
809	150332.8215
810	150037.7798
811	149518.2138
812	149160.1259
813	148675.505
814	148374.5632
815	147987.8226
816	147827.7391
817	147590.2523
818	147274.7639
819	146913.8808
820	146836.6887
821	146618.881
822	146409.6358
823	146172.892
824	146027.2766
825	145885.2974
826	145524.761
827	145325.2705
828	144917.6785
829	144709.5453
830	144584.7524
831	144299.535
832	144054.8098
833	143933.7695
834	143809.3048
835	143675.3796
836	143418.4129
837	143156.4814
838	142773.2858
839	142713.1044
840	142623.2762
841	142254.2661
842	141909.6436
843	141662.2306
844	141619.7722
845	141191.4381
846	140992.7519
847	140825.5183
848	140644.8779
849	140535.352
850	140307.7545
851	140071.1697
852	139731.8182
853	139483.4167
854	139078.2062
855	138853.5245
856	138715.5788
857	138563.7841
858	138374.1658
859	138023.0185
860	137737.9978
861	137658.1588
862	137532.1473
863	136952.502
864	136481.3341
865	136354.9332
866	136265.4297
867	136124.641
868	135843.0751
869	135697.9186
870	135538.4644
871	135418.2564
872	135211.7918
873	134991.1295
874	134658.8031
875	134496.1236
876	134350.9058
877	134103.0112
878	133711.3551
879	133660.3229
880	133515.8636
881	133291.2364
882	132964.9892
883	132678.798
884	132464.1525
885	131932.9589
886	131777.829
887	131530.2335
888	131372.3034
889	131026.1907
890	130889.682
891	130853.4447
892	130467.9916
893	130232.47
894	129872.1242
895	129676.0459
896	129378.0837
897	129345.1319
898	129089.9099
899	128903.8535
900	128781.2779
901	128539.6425
902	128516.2685
903	128407.2682
904	128136.0128
905	128084.7866
906	127862.79
907	127550.6306
908	127458.3017
909	127232.6256
910	126886.9471
911	126864.2566
912	126661.0723
913	126265.9543
914	126032.3512
915	125763.5472
916	125562.9844
917	125403.9692
918	125104.1222
919	124832.5305
920	124691.886
921	124478.4579
922	124197.1268
923	124175.3914
924	123846.8967
925	123807.35
926	123586.5211
927	123152.3167
928	122830.6512
929	122732.0114
930	122494.3075
931	122004.6007
932	121736.1514
933	121563.6675
934	121422.7469
935	121154.3545
936	121046.1379
937	120942.1568
938	120719.3892
939	120509.9463
940	120110.2913
941	119965.8852
942	119917.6254
943	119771.8313
944	119659.1891
945	119250.0197
946	118949.1922
947	118722.179
948	118705.1395
949	118417.9946
950	118318.8165
951	118163.973
952	117994.8532
953	117679.918
954	117224.7569
955	117025.9049
956	116594.1816
957	116340.4986
958	116258.3301
959	116113.6188
960	115996.4789
961	115575.3004
962	115336.8053
963	115080.6343
964	115063.1293
965	114862.8904
966	114842.7055
967	114510.467
968	114268.7109
969	114026.9393
970	113532.0562
971	113287.45
972	113052.9859
973	112624.8667
974	112429.1806
975	112112.0313
976	112039.9362
977	111928.9095
978	111792.8113
979	111557.9799
980	111303.5518
981	110945.3174
982	110862.9654
983	110771.6443
984	110575.8055
985	110296.7328
986	110019.4085
987	109779.1692
988	109508.3168
989	109401.4171
990	109220.5368
991	109030.0428
992	108665.7217
993	108546.71
994	108495.3434
995	108478.8453
996	108331.73
997	108155.2477
998	107967.7421
999	107863.8303
